題目,選項A,選項B,選項C,選項D,正確答案
中國共產黨成立於哪一年?,1919年,1921年,1927年,1949年,1921年
中國共產黨第一次全國代表大會在哪裡召開?,北京,上海,廣州,延安,上海
誰是中國共產黨的主要創始人之一?,孫中山,毛澤東,陳獨秀,蔣介石,陳獨秀
長征開始於哪一年?,1927年,1934年,1937年,1945年,1934年
遵義會議召開於哪一年?,1927年,1935年,1945年,1949年,1935年
中華人民共和國成立於哪一年?,1945年,1947年,1949年,1950年,1949年
抗日戰爭全面爆發於哪一年?,1931年,1937年,1941年,1945年,1937年
第一次國共合作開始於哪一年?,1921年,1924年,1927年,1937年,1924年
南昌起義發生於哪一年?,1925年,1927年,1935年,1949年,1927年
井岡山革命根據地建立於哪一年?,1927年,1934年,1937年,1949年,1927年
延安整風運動開始於哪一年?,1935年,1942年,1945年,1949年,1942年
中共七大召開於哪一年?,1935年,1942年,1945年,1949年,1945年
三大戰役不包括以下哪一個?,遼瀋戰役,淮海戰役,平津戰役,渡江戰役,渡江戰役
改革開放開始於哪一年?,1949年,1966年,1976年,1978年,1978年
中共十一屆三中全會召開於哪一年?,1976年,1978年,1980年,1982年,1978年
誰提出了「實踐是檢驗真理的唯一標準」?,鄧小平,胡耀邦,胡喬木,光明日報,光明日報
經濟特區最早設立於哪一年?,1978年,1980年,1984年,1992年,1980年
香港回歸祖國是在哪一年?,1995年,1997年,1999年,2000年,1997年
澳門回歸祖國是在哪一年?,1997年,1998年,1999年,2000年,1999年
中共十八大召開於哪一年?,2010年,2012年,2014年,2016年,2012年